UF_SIGLA,MUNICIPIO_NOME_ALP,NO_MUNICIPIO,NO_LOCALIZACAO,NO_DEPENDENCIA,Evasão - Fundamental,Evasão -Médio,TAXA_APROVACAO_INICIAIS,TAXA_APROVACAO_FINAIS,Reprovacao_Iniciais,Reprovacao_Finais,Urgencia,MÉDIA_HISTÓRICA,MUNICIPIO_CHAVE
PB,SERRA REDONDA,Serra Redonda,Urbana,Total,6.15,13.6,0.92035,0.7574,7.965,24.260000000000005,51.97500000000001,77.64,SERRA REDONDA
PB,SERRA REDONDA,Serra Redonda,Total,Pública,6.1,13.6,0.92035,0.7574,7.965,24.260000000000005,51.925000000000004,77.64,SERRA REDONDA
PB,SERRA REDONDA,Serra Redonda,Total,Total,5.8,13.6,0.92035,0.7574,7.965,24.260000000000005,51.625,77.64,SERRA REDONDA
PB,SANTA RITA,Santa Rita,Total,Pública,5.5,15.2,0.9271,0.8197,7.2899999999999965,18.03,46.019999999999996,78.37,SANTA RITA
PB,SANTA RITA,Santa Rita,Total,Total,5.0,14.5,0.9271,0.8197,7.2899999999999965,18.03,44.81999999999999,78.37,SANTA RITA
PB,SANTA RITA,Santa Rita,Rural,Total,5.9,13.4,0.9271,0.8197,7.2899999999999965,18.03,44.62,78.37,SANTA RITA
PB,SANTA RITA,Santa Rita,Urbana,Total,4.7,14.5,0.9271,0.8197,7.2899999999999965,18.03,44.519999999999996,78.37,SANTA RITA
PB,BANANEIRAS,Bananeiras,Total,Pública,4.2,18.1,0.9713,0.8612,2.8699999999999948,13.880000000000003,39.05,79.88,BANANEIRAS
PB,BANANEIRAS,Bananeiras,Urbana,Total,3.5,18.2,0.9713,0.8612,2.8699999999999948,13.880000000000003,38.449999999999996,79.88,BANANEIRAS
PB,BANANEIRAS,Bananeiras,Total,Total,3.6,17.0,0.9713,0.8612,2.8699999999999948,13.880000000000003,37.349999999999994,79.88,BANANEIRAS
PB,JOÃO PESSOA,João Pessoa,Total,Pública,4.3,10.6,0.9449,0.8333,5.510000000000003,16.669999999999995,37.08,83.61,JOAO PESSOA
PB,JOÃO PESSOA,João Pessoa,Urbana,Total,4.1,10.2,0.9449,0.8333,5.510000000000003,16.669999999999995,36.48,83.61,JOAO PESSOA
PB,JOÃO PESSOA,João Pessoa,Total,Total,4.1,10.2,0.9449,0.8333,5.510000000000003,16.669999999999995,36.48,83.61,JOAO PESSOA
PB,JOÃO PESSOA,João Pessoa,Total,Privada,3.9,9.3,0.9449,0.8333,5.510000000000003,16.669999999999995,35.379999999999995,83.61,JOAO PESSOA
PB,INGÁ,Ingá,Total,Pública,4.1,19.3,0.9843,0.897,1.5700000000000047,10.299999999999997,35.269999999999996,76.76,INGA
PB,CATURITÉ,Caturité,Urbana,Total,3.9,18.1,0.9773,0.8953,2.2700000000000053,10.470000000000002,34.74000000000001,84.8,CATURITE
PB,CATURITÉ,Caturité,Total,Pública,3.2,18.1,0.9773,0.8953,2.2700000000000053,10.470000000000002,34.040000000000006,84.8,CATURITE
PB,CATURITÉ,Caturité,Total,Total,3.2,18.1,0.9773,0.8953,2.2700000000000053,10.470000000000002,34.040000000000006,84.8,CATURITE
PB,BAÍA DA TRAIÇÃO,Baía da Traição,Rural,Total,3.4,8.9,0.92035,0.8661,7.965,13.390000000000002,33.655,85.41,BAIA DA TRAICAO
PB,CAMPINA GRANDE,Campina Grande,Total,Pública,5.6,10.4,0.9819,0.8416,1.8100000000000005,15.839999999999998,33.65,82.14,CAMPINA GRANDE
